[-14.113305854797364, 0.0016931533813476561, 4.4, [5, 1000, 20, 100, 1e-06, 1], 4.425405715811508]
[-14.110130691528322, 0.010096073150634766, 2.4, [100, 500, 20, 100, 1e-06, 1], 4.428589702593841]
[-13.442660713195803, 0.00300297737121582, 5.4, [5, 500, 20, 100, 1e-09, 1], 5.096051138102026]
[-13.197900581359864, 0.0013781547546386718, 4.0, [5, 500, 20, 100, 1e-06, 1], 5.340810968167715]
[-13.18746452331543, 0.0017383098602294924, 3.6, [5, 1000, 20, 100, 1e-09, 1], 5.351247047333823]
[-13.13521213531494, 0.0021314144134521483, 4.6, [5, 200, 20, 100, 1e-09, 1], 5.403499485348301]
[-13.123462104797362, 0.004174470901489258, 6.000000000000001, [5, 200, 20, 100, 1e-06, 1], 5.415250235776961]
[-13.039579772949219, 0.0027526378631591796, 6.0, [5, 200, 20, 1000, 1e-09, 1], 5.499131981745852]
[-12.627728080749513, 0.001645994186401367, 4.4, [5, 200, 20, 1000, 1e-06, 1], 5.910983480747379]
[-12.401989936828613, 0.001244354248046875, 3.5999999999999996, [5, 1000, 20, 1000, 1e-09, 1], 6.136721611022949]
[-11.9495418548584, 0.0025355815887451168, 5.0, [5, 1000, 20, 1000, 1e-06, 1], 6.589169819508954]
[-11.220283508300781, 0.001593923568725586, 4.2, [5, 500, 20, 1000, 1e-06, 1], 7.318428047899481]
